"EQID","STATID","mag","rupture_complete","JB_complete","fm_type_code","vs30","rotD50_pga","ev_latitude","ev_longitude","st_latitude","st_longitude","X_ev","Y_ev","X_stat","Y_stat"
1,1,4.48,103.134523802653,102.8,"NF",910.104476,0.2756645,39.8692,16.1022,40.7867,15.9427,594.26377709254,4413.82111540002,579.538084918559,4515.50663560919
1,2,4.48,66.6190663399,66.1,"NF",341.116237,0.4603205,39.8692,16.1022,40.0783,15.3776,594.26377709254,4413.82111540002,532.195017786908,4436.51611562718
1,3,4.48,148.432240433135,148.2,"NF",738.045544,0.0448735,39.8692,16.1022,41.028,15.2366,594.26377709254,4413.82111540002,519.890006996639,4541.89229295877
1,4,4.48,69.4974100236836,69,"NF",648.706948,0.476271,39.8692,16.1022,39.2534,16.2114,594.26377709254,4413.82111540002,604.523635026886,4345.59649361128
1,5,4.48,63.0487113270366,62.5,"NF",572.944009,0.127982,39.8692,16.1022,39.4027,16.5088,594.26377709254,4413.82111540002,629.908773021347,4362.55207694845
1,6,4.48,141.643390244656,141.4,"NF",816.994626,0.0990045,39.8692,16.1022,38.6068,15.8856,594.26377709254,4413.82111540002,577.108961789054,4273.51608532201
1,7,4.48,57.3042755821937,56.7,"NF",805.249432,0.424219,39.8692,16.1022,40.3249,15.8019,594.26377709254,4413.82111540002,568.124791767738,4464.12746863046
1,8,4.48,56.1171987896759,55.5,"NF",1284.697925,0.494051,39.8692,16.1022,40.1376,15.5535,594.26377709254,4413.82111540002,547.151748094417,4443.17647217853
1,9,4.48,184.986296789789,184.8,"NF",908.405715,0.01375535,39.8692,16.1022,41.37,15.158,594.26377709254,4413.82111540002,513.213457538835,4579.84393644631
1,10,4.48,169.403453329618,169.2,"NF",909.760821,0.0458885,39.8692,16.1022,41.1227,14.96815,594.26377709254,4413.82111540002,497.326339845577,4552.37856009599
1,11,4.48,111.808496993744,111.5,"NF",834.060149,0.0636165,39.8692,16.1022,40.7564,15.48892,594.26377709254,4413.82111540002,541.270011111382,4511.83068100791
1,12,4.48,75.0603090854281,74.6,"NF",738.80556,0.131649,39.8692,16.1022,39.4851,16.8158,594.26377709254,4413.82111540002,656.159082144974,4372.18465099788
